,Publish_time,Video_title,View,Like,Comment,Video_ID
208,2021-10-23,LEEDS - WOLVES ,497695,3960,213,q4z1viZfuG8
209,2021-10-23,EVERTON - WATFORD ,971087,7905,446,YzkJJrEz8V4
210,2021-10-23,SOUTHAMPTON - BURNLEY ,254509,1698,124,Ujcu24wlwfo
211,2021-10-23,CHELSEA - NORWICH CITY ,1674886,17860,1552,LKwXF6cukIQ
212,2021-10-22,ARSENAL - ASTON VILLA ,1579303,15955,1304,mi4zOQS4NfU
213,2021-10-18,ARSENAL - CRYSTAL PALACE,1075542,10594,1047,N4u_K7XlS8g
214,2021-10-17,NEWCASTLE - TOTTENHAM,1361857,12885,577,fMd2LU5dHow
215,2021-10-17,EVERTON - WEST HAM,379305,2845,119,SSZr4v9_974
216,2021-10-16,BRENTFORD - CHELSEA ,1480093,13554,1926,cldULNca6fk
217,2021-10-16,ASTON VILLA - WOLVERHAMPTON ,616705,4575,424,bnTf7zB_VBk
218,2021-10-16,NORWICH - BRIGHTON ,161028,916,42,bN1ZqbAptwo
219,2021-10-16,MAN CITY - BURNLEY ,950423,8567,394,Rcjkrpb_GvE
220,2021-10-16,SOUTHAMPTON - LEEDS ,227281,1667,66,ckYpwuVpKgQ
221,2021-10-16,LEICESTER CITY - MANCHESTER UNITED ,3057004,23597,5707,ahwqDTfZFEA
222,2021-10-16,WATFORD - LIVERPOOL ,1380518,12866,1458,mr5v0czI1sU
223,2021-10-03,LIVERPOOL - MAN CITY,4373063,39294,3602,lAB8HK5S5zw
224,2021-10-03,WEST HAM - BRENTFORD ,428613,3131,290,PXUomOqyeRI
225,2021-10-03,TOTTENHAM - ASTON VILLA,1449318,11367,712,0ximzw-ATFw
226,2021-10-03,CRYSTAL PALACE - LEICESTER CITY ,540837,3844,256,yFW2KaZmo5A
227,2021-10-02,BRIGHTON - ARSENAL ,1031015,6987,498,mx1Jf1k0_lA
228,2021-10-02,BURNLEY - NORWICH ,142277,928,62,Voo213XGYCI
229,2021-10-02,WOLVERHAMPTON - NEWCASTLE ,552388,4464,452,8r3jwtkvMlA
230,2021-10-02,LEEDS UTD - WATFORD ,440232,2681,125,nrHf9DyTTQY
231,2021-10-02,CHELSEA - SOUTHAMPTON ,1464994,13705,1186,ORaQ9vLrgok
232,2021-10-02,MANCHESTER UNITED - EVERTON ,2176145,19592,3631,E4zMBtlNn7w
233,2021-09-27,CRYSTAL PALACE -  BRIGHTON,620058,5678,558,82osWXM4Ym4
234,2021-09-26,ARSENAL - TOTTENHAM,2670382,26448,2407,r_XgAy6oJuE
